ObjectId,Redshift,Band,ExposureMinutes,EmissionLine,EstimatedZ,SNR,AxisRatio,Inclination,KinematicScore
COS4_18604,2.7276,K,475.0,H-alpha,2.7276,2.3,0.788,38.5,28.4
COS4_06963,1.9875,K,1045.0,H-alpha,1.9875,2.7,0.803,37.1,28.3
COS4_11333,0.8109,YJ,290.0,H-alpha,0.8109,2.4,0.709,45.5,28.1
COS4_18417,0.6292,YJ,315.0,H-alpha,0.6292,2.6,0.789,38.4,27.9
COS4_02567,0.6188,YJ,230.0,H-alpha,0.6188,2.6,0.734,43.4,26.9
COS4_05888,0.9799,YJ,230.0,H-alpha,0.9799,2.1,0.700,46.3,26.8
COS4_07884,2.1107,K,525.0,H-alpha,2.1107,2.0,0.677,48.1,26.6
COS4_12782,0.7398,YJ,165.0,H-alpha,0.7398,2.7,0.775,39.8,26.4
COS4_25229,2.7251,K,495.0,H-alpha,2.7251,2.3,0.807,36.7,26.2
COS4_21786,1.0176,YJ,650.0,H-alpha,1.0176,3.2,0.971,13.9,26.0
COS4_22100,0.7187,YJ,255.0,H-alpha,0.7187,2.3,0.771,40.1,26.0
COS4_12633,0.7898,YJ,290.0,H-alpha,0.7898,2.5,0.762,40.9,25.9
COS4_09044,1.9803,K,1045.0,H-alpha,1.9803,2.3,0.766,40.5,25.7
COS4_15698,0.8611,YJ,635.0,H-alpha,0.8611,2.2,0.805,36.9,25.3
COS4_03179,2.7798,K,610.0,H-alpha,2.7798,2.5,0.842,33.1,25.2
COS4_08576,0.8910,YJ,605.0,H-alpha,0.8910,2.3,0.794,38.0,25.2
COS4_24701,3.9382,K,475.0,[OIII] 5007,3.9382,2.5,0.928,22.2,24.9
COS4_04519,2.6763,K,525.0,H-alpha,2.6763,2.2,0.769,40.3,24.1
COS4_24164,0.6383,YJ,200.0,H-alpha,0.6383,2.3,0.797,37.7,24.1
COS4_26395,1.0040,YJ,200.0,H-alpha,1.0040,2.0,0.806,36.8,23.7
COS4_17657,0.7014,YJ,625.0,H-alpha,0.7014,2.5,0.846,32.7,23.6
COS4_21904,0.7153,YJ,435.0,H-alpha,0.7153,2.4,0.898,26.4,23.1
COS4_08687,0.9247,YJ,320.0,H-alpha,0.9247,2.3,0.731,43.6,22.9
COS4_13837,0.5809,YJ,320.0,H-alpha,0.5809,2.7,0.885,28.1,22.7
COS4_16864,0.6247,YJ,290.0,H-alpha,0.6247,2.2,0.738,43.1,22.7
COS4_13084,0.7380,YJ,320.0,H-alpha,0.7380,2.6,0.931,21.6,22.6
COS4_09835,0.7561,YJ,290.0,H-alpha,0.7561,2.5,0.871,29.8,22.4
COS4_03324,2.0487,K,520.0,H-alpha,2.0487,2.4,0.896,26.7,22.2
COS4_10538,0.7201,YJ,320.0,H-alpha,0.7201,2.5,0.866,30.3,22.1
COS4_14400,0.7064,YJ,290.0,H-alpha,0.7064,2.3,0.796,37.7,22.1
COS4_01598,1.0543,YJ,290.0,[OIII] 5007,1.0543,2.4,0.776,39.6,21.9
COS4_08515,2.7537,K,610.0,H-alpha,2.7537,2.3,0.862,30.8,21.8
COS4_18977,2.6168,K,945.0,H-alpha,2.6168,2.4,0.904,25.6,21.7
