Object,RA,DEC,z,StellarMass,StellarMassErr,SFR,Radius,SourceCatalog,SepArcsec,zPDF
COS4_15617,150.138750,2.339380,0.8841,3.162E+009,0.150,5.012E+000,9.61,COSMOS2015,0.05,0.8600
COS4_15698,150.128371,2.340800,0.8611,4.571E+010,0.150,6.761E-001,5.72,COSMOS2015,0.17,0.9211
COS4_15813,150.145779,2.341310,2.7118,2.188E+010,0.150,3.090E+002,4.57,COSMOS2015,0.09,2.4906
COS4_15820,150.064829,2.341610,1.9734,2.188E+010,0.150,3.981E+001,6.19,COSMOS2015,0.16,2.1187
COS4_16172,150.103500,2.346100,1.0609,5.623E+010,0.150,7.943E+001,7.19,COSMOS2015,0.13,1.0126
COS4_16227,150.073671,2.346820,0.8686,7.586E+009,0.150,1.047E+002,7.70,COSMOS2015,0.08,0.8309
COS4_16342,150.122529,2.347110,3.9377,4.266E+010,0.150,5.623E+001,5.86,COSMOS2015,0.08,2.2528
COS4_16369,150.177108,2.346940,1.8159,1.738E+009,0.150,2.951E+001,6.70,COSMOS2015,0.39,0.8373
COS4_16501,150.110246,2.348120,1.7511,1.778E+010,0.150,4.266E+001,5.32,COSMOS2015,0.09,1.7218
COS4_16547,150.106875,2.348790,1.8054,2.630E+010,0.150,2.884E+000,-141.08,COSMOS2015,0.10,1.3584
COS4_16609,150.088058,2.350290,1.9713,4.169E+010,0.150,1.259E+002,5.71,COSMOS2015,0.09,2.6153
COS4_16864,150.172800,2.352200,0.6247,1.259E+010,0.150,1.288E+001,4.28,COSMOS2015,0.13,0.9017
COS4_16986,150.086029,2.352810,1.0609,1.259E+009,0.150,1.259E+001,4.30,COSMOS2015,0.10,0.9100
COS4_17162,150.151321,2.354800,1.7991,8.710E+009,0.150,5.012E+001,4.61,COSMOS2015,0.09,1.6515
COS4_17235,150.095871,2.356000,0.9781,3.311E+009,0.150,5.623E+000,7.57,COSMOS2015,0.09,0.7703
COS4_17237,150.136262,2.355350,1.7994,9.333E+009,0.150,2.138E+001,5.45,COSMOS2015,0.07,1.2474
COS4_17395,150.123033,2.356730,0.7102,2.818E+009,0.150,4.571E+000,3.76,COSMOS2015,0.08,1.0050
COS4_17519,150.153625,2.358380,1.7906,2.512E+010,0.150,2.512E+001,5.85,COSMOS2015,0.05,1.6353
COS4_17600,150.094800,2.359060,1.9798,3.715E+010,0.150,7.079E+001,8.33,COSMOS2015,0.25,2.3613
COS4_17628,150.071800,2.361000,0.7246,6.310E+010,0.150,3.311E+001,5.42,COSMOS2015,0.12,0.9162
COS4_17641,150.096650,2.359690,1.8057,5.012E+010,0.150,2.630E-003,6.26,COSMOS2015,0.16,1.5317
COS4_17657,150.174700,2.360800,0.7014,2.512E+010,0.150,2.512E+001,5.51,COSMOS2015,0.17,0.9002
COS4_17808,150.172821,2.361410,1.8211,3.236E+010,0.150,1.380E+002,5.31,COSMOS2015,0.07,1.5480
COS4_17997,150.083925,2.363240,1.8060,4.169E+010,0.150,2.042E+000,9.37,COSMOS2015,0.26,1.6629
COS4_18064,150.057846,2.363770,1.2085,2.884E+010,0.150,5.012E+001,7.57,COSMOS2015,0.55,1.6682
COS4_18209,150.084000,2.364830,2.7910,3.388E+009,0.150,1.479E+002,8.91,COSMOS2015,0.08,1.5822
COS4_18358,150.167129,2.366800,1.7902,4.074E+009,0.150,2.754E+001,6.41,COSMOS2015,0.16,1.6631
COS4_18417,150.142900,2.367880,0.6292,1.413E+010,0.150,1.862E+002,7.19,COSMOS2015,0.61,0.9944
COS4_18435,150.148346,2.367410,1.8221,2.692E+010,0.150,3.631E+001,5.18,COSMOS2015,0.04,1.4611
COS4_18604,150.132321,2.368930,2.7276,1.023E+010,0.150,3.236E+001,4.63,COSMOS2015,0.10,2.0595
COS4_18644,150.159200,2.369800,0.9781,4.571E+009,0.150,2.042E+001,6.04,COSMOS2015,0.08,0.9574
COS4_18709,150.076858,2.370100,1.8024,2.291E+010,0.150,2.512E+001,6.98,COSMOS2015,0.56,1.6150
COS4_18795,150.130858,2.370890,1.8225,5.495E+009,0.150,1.202E+002,4.82,COSMOS2015,0.11,1.7389
COS4_18859,150.086492,2.371460,3.8866,3.020E+010,0.150,1.950E+002,3.95,COSMOS2015,0.11,3.0541
COS4_18952,150.130262,2.372170,1.7985,5.623E+010,0.150,3.236E-003,4.37,COSMOS2015,0.08,1.6182
COS4_18969,150.142900,2.373260,1.7981,3.467E+010,0.150,3.981E+001,7.84,COSMOS2015,0.05,1.3747
COS4_18977,150.146508,2.372310,2.6168,2.042E+010,0.150,1.148E+001,4.32,COSMOS2015,0.10,1.5899
COS4_19016,150.054521,2.372630,0.8616,5.129E+009,0.150,3.020E+000,3.98,COSMOS2015,0.05,0.8886
COS4_19049,150.138883,2.373370,1.7988,8.318E+009,0.150,4.677E+001,6.82,COSMOS2015,0.17,1.4345
COS4_19066,150.169100,2.374600,1.0398,1.660E+010,0.150,2.138E+001,5.65,COSMOS2015,0.11,0.9225
COS4_19090,150.111175,2.373290,1.9644,1.413E+011,0.150,1.585E-001,4.71,COSMOS2015,0.11,2.4451
COS4_19313,150.140000,2.375980,1.0529,4.266E+010,0.150,1.288E-002,4.64,COSMOS2015,0.03,0.9166
COS4_19499,150.110092,2.377320,3.9169,6.310E+010,0.150,9.333E+000,5.48,COSMOS2015,0.57,2.1097
COS4_19563,150.145171,2.378180,2.7679,6.457E+009,0.150,3.162E+001,4.59,COSMOS2015,0.04,1.8343
COS4_19630,150.095825,2.378720,1.7981,1.202E+010,0.150,3.715E+001,5.07,COSMOS2015,0.15,1.5932
COS4_19648,150.105775,2.380240,0.8061,2.188E+010,0.150,1.585E+002,5.68,COSMOS2015,0.21,0.8898
COS4_19667,150.099600,2.379700,1.0654,1.660E+010,0.150,1.318E+001,4.88,COSMOS2015,0.26,0.8526
COS4_19680,150.075258,2.379400,1.9768,4.169E+010,0.150,2.399E+002,4.86,COSMOS2015,0.09,2.0746
COS4_19753,150.075758,2.380640,1.9734,3.981E+010,0.150,1.000E+002,6.37,COSMOS2015,0.02,2.5295
COS4_19780,150.105925,2.380140,0.5518,2.188E+010,0.150,1.585E+002,4.85,COSMOS2015,0.54,0.8898
COS4_19796,150.124800,2.382290,1.8182,1.096E+011,0.150,3.020E-001,4.95,COSMOS2015,0.07,1.1878
COS4_20007,150.148362,2.383070,1.7419,4.074E+009,0.150,1.175E+001,4.87,COSMOS2015,0.14,1.7073
COS4_20122,150.163650,2.384860,0.7601,6.310E+009,0.150,1.349E+001,6.83,COSMOS2015,0.18,0.9420
COS4_20342,150.061646,2.388050,0.7364,1.175E+011,0.150,5.248E+001,6.32,COSMOS2015,0.05,1.0864
COS4_20347,150.116942,2.386930,1.0611,1.698E+010,0.150,7.762E+001,4.80,COSMOS2015,0.04,0.9384
COS4_20449,150.117692,2.387670,1.8379,8.511E+009,0.150,4.074E+001,5.59,COSMOS2015,0.09,1.7265
COS4_20531,150.139600,2.388600,0.8181,5.888E+009,0.150,2.188E+001,4.78,COSMOS2015,0.07,0.9000
COS4_20537,150.165450,2.389300,0.7254,3.548E+010,0.150,1.905E-003,4.39,COSMOS2015,0.09,0.8973
COS4_20565,150.119000,2.391300,0.5764,1.413E+011,0.150,1.023E+000,5.82,COSMOS2015,0.18,0.8688
COS4_20595,150.164000,2.389070,1.7994,8.128E+009,0.150,6.166E+001,4.72,COSMOS2015,0.05,1.6216
COS4_20612,150.159400,2.391100,1.0515,2.239E+011,0.150,1.585E+000,6.81,COSMOS2015,0.08,0.8722
COS4_20618,150.154400,2.391300,0.5756,2.239E+010,0.150,1.995E+002,8.88,COSMOS2015,0.24,0.9200
COS4_20631,150.176954,2.390090,1.8159,7.943E+010,0.150,1.000E+002,5.48,COSMOS2015,0.09,1.6070
COS4_20746,150.161529,2.390950,2.6498,8.128E+009,0.150,4.898E+001,5.70,COSMOS2015,0.12,1.6111
COS4_20839,150.121796,2.394580,0.5729,1.413E+011,0.150,3.162E+000,5.54,COSMOS2015,0.06,0.8904
COS4_20910,150.077500,2.394500,0.5547,9.333E+010,0.150,1.259E+001,5.26,COSMOS2015,0.28,0.8865
COS4_21030,150.067808,2.395690,0.8357,8.913E+010,0.150,3.981E-001,7.82,COSMOS2015,0.52,0.8430
COS4_21072,150.156646,2.395310,0.5547,1.000E+011,0.150,7.943E-001,10.93,COSMOS2015,0.06,1.0455
COS4_21318,150.061933,2.399170,0.5547,NaN,0.150,NaN,NaN,none,13.18,NaN
COS4_21400,150.145033,2.397720,0.9332,2.818E+010,0.150,1.995E-001,4.32,COSMOS2015,0.10,0.8462
COS4_21492,150.091550,2.399040,1.9768,2.455E+010,0.150,6.310E+001,4.42,COSMOS2015,0.07,1.1512
COS4_21541,150.093383,2.398620,3.8889,5.370E+010,0.150,5.495E+001,4.16,COSMOS2015,0.19,2.3393
COS4_21570,150.108246,2.399300,2.7944,1.514E+010,0.150,6.761E+001,13.11,COSMOS2015,0.06,1.6953
